순번,일자,항공사,기종,비행단계,탑승,사망,사고 개요
81,2021-08-24,N1GG LLC,Cirrus SF50 Vision Jet,TOF,4,0,"N1GG LLC 소속 Cirrus SF50 Vision Jet 항공기가 미국 Lansing-Capital Region 공항 이륙 중 활주로를 이탈하여 기체가 파손되었으나, 인명피해 없음."
82,2021-09-02,Brook Haven Properties LLC,Cessna 560 Citation XLS+,TOF,4,4,Brook Haven Properties LLC 소속 Cessna 560 Citation XLS+ 항공기가 미국 Plainville -Robertson 공항 이륙 후 건물에 충돌하면서 파괴 되어 탑승자 4명 전원 사망함.
83,2021-09-04,Fly Exclusive,Cessna 560XL Citation Excel,APR,6,0,"Fly Exclusive 소속 Cessna 560XL Citation Excel 항공기가 미국 유타 주 Salt Lake City 국제공항에 접근하던 중 조류와 충돌하여 왼쪽 날개에 상당한 손상을 입었으나, 인명피해 없음."
84,2021-09-12,Aeroservice,Let L-410UVP-E20,APR,16,4,"Aeroservice 소속 Let L-410UVP-E20 항공기가 러시아 Kazachinskoye 공항 인근 활주로에 접근하던 중 나무에 충돌하면서 추락하여, 탑승자 16명 중 4명이 사망함. "
85,2021-09-12,private,British Aerospace BAe-125,STD,0,0,베네수엘라 Rio Catatumbo 인근의 활주로에서 British Aerospace BAe-125 항공기가 불에 탄 채 발견됨. 이 항공기는 마약수송에 사용됐을 것으로 추정됨.
86,2021-09-14,CSM Agropecuaria,Beechcraft B200GT King Air 250,ICL,7,7,CSM Agropecuaria 소속 Beechcraft B200GT King Air 250 항공기가 브라질 Piracicaba 공항에서 이륙 직후 추락하면서 파괴되어 탑승자 7명 전원 사망.
87,2021-09-14,Meander Air II LLC,Raytheon Beechjet 400A,ENR,2,0,"Meander Air II LLC 소속 Raytheon Beechjet 400A 항공기가 미국 Charleston Executive 공항에서 점검 도중 1번 엔진 카울링이 분리돼 동체와 좌측 수평 안정기 등이 파손된 것을 발견하였으나, 인명피해 없음."
88,2021-09-15,Rimbun Air,de Havilland Canada DHC-6 Twin Otter 300,APR,3,3,Rimbun Air 소속 de Havilland Canada DHC-6 Twin Otter 300 항공기가 인도네시아 Sugapa 공항에 접근하던 도중 산중턱에 추락해 탑승자 3명 전원 사망.
89,2021-09-17,Air Wisconsin,Canadair CRJ-200LR,PBT,0,0,"Air Wisconsin 소속 Canadair CRJ-200LR 항공기가 미국 Asheville 공항에서 연료트럭에 치여 상당한 피해를 입었으나, 인명피해 없음."
90,2021-09-22,LPS Flight Checks & Systems,Antonov An-26KPA,ENR,6,6,LPS Flight Checks & Systems 소속 Antonov An-26KPA 항공기가 러시아 Khabarovsk 공항에서 38km 떨어진 산중턱에 충돌 후 파괴되어 탑승자 6명 전원 사망.
