순번,일자,항공사,기종,비행단계,탑승,사망,사고 개요
60,2023-07-22,Royal Canadian Air Force - RCAF,Airbus CC-150 Polaris (A310-300),STD,,,Royal Canadian Air Force - RCAF 소속 Airbus CC-150 Polaris (A310-300) 항공기가 미국 Guam-Andersen 기지에 주기 중에 바퀴를 초크로 고정하지 않아 뒤쪽으로 굴러가면서 프랑스 공군의 Airbus A400M 항공기와 충돌하여 수직안정판에 심각한 손상을 입음.
61,2023-07-22,-,Antonov An-26,TOF,10,9,소속 불명의 Antonov An-26 항공기가 수단 Port Sudan 공항에서 이륙 중 추락하여 탑승자 10명 중 9명이 사망하고 어린이 1명은 부상을 입음.
62,2023-07-24,Delta Air Lines,Boeing 767-332ER (WL),ENR,,,"Delta Air Lines 소속 Boeing 767-332ER (WL) 항공기가 이탈리아 Milan 지역 서쪽에서 상승 중 우박을 맞아 레이돔, 날개 앞쪽, 엔진 스피너 등이 손상되어 Rome-Fiumicino 공항으로 회항 후 안전하게 착륙함."
63,2023-07-25,Elleniki Polemiki Aeroporia,Canadair CL-215-1A10,MNV,2,2,Elleniki Polemiki Aeroporia 소속 VCanadair CL-215-1A10 항공기가 그리스 Platanistos 인근에서 산불 진화 도중 지형에 충돌 후 추락하여 탑승자 전원 사망함.
64,2023-07-28,Unknown,Cessna 650 Citation VII,ICL,3,3,"소속 불명의 Cessna 650 Citation VII 항공기가 멕시코 Veracruz-General Heriberto Jara Corona 공항에서 이륙하여 상승 중 급격히 하강하여 Veracruz 앞바다에 추락, 탑승자 전원 사망함."
65,2023-07-29,United Airlines,Boeing 767-322ER (WL),LDG,202,,"United Airlines 소속 Boeing 767-322ER (WL) 항공기가 미국 Houston-George Bush 공항에 착륙하던 중 하드랜딩으로 상부 동체 크라운에 상당한 손상을 입었으나, 인명피해 없음. "
66,2023-07-29,Alkan Air,Beechcraft B300 King Air 350,TXI,5,,"Alkan Air 소속 Beechcraft B300 King Air 350 항공기가 캐나다 Vancouver 공항 관제탑에서 항공고시보를 통해 폐쇄한 유도로로 잘못 허가를 내려 계기비행기상상태에서 지상이동 중에 차단막에 충돌하여 노즈 랜딩기어 및 프로펠러가 상당한 손상을 입었으나, 인명피해 없음."
67,2023-08-07,Federal Airlines,Cessna 208B Grand Caravan,LDG,9,,"Federal Airlines 소속 Cessna 208B Grand Caravan 항공기가 남아프리카 Arathusa Safari Lodge에 착륙 후 지상활주 중 우측 브레이크가 고장 나 활주로를 오버런하였으나, 인명피해 없음."
68,2023-08-07,Garuda Indonesia,Boeing 737-8U3 (WL),LDG,152,,"Garuda Indonesia 소속 Boeing 737-8U3 (WL) 항공기가 인도네시아 Banjarmasin-Sjamsudin Noor 공항에서 착륙 포기 후 복행하던 중 테일 스트라이크를 겪었으나 이후 안전하게 착륙, 인명피해 없음."
69,2023-08-09,WestJet Airlines,Boeing 737-7CT (WL),TXI,130,,"WestJet Airlines 소속 Boeing 737-7CT (WL) 항공기가 캐나다 Comox Valley 공항에서 지상이동 중 주기되어 있던 RCAF 소속 Lockheed CC-130H Hercules와 충돌하였으나, 인명피해 없음."
70,2023-08-09,Binter Canarias,ATR 72-600,LDG,73,,Binter Canarias 소속 ATR 72-600 항공기가 스페인 Las Palmas-Airport de Gran Canaria 공항에 착륙 후 점검 결과 메인 랜딩기어의 타이어 및 림의 마모를 확인함.
71,2023-08-15,Ameriflight,Beechcraft C99 Commuter,ICL,1,,"Ameriflight 소속 Beechcraft C99 Commuter 항공기가 미국 Lansing-Capital Region 공항에서 러더 트림 위치를 중립으로 설정하지 않은 채 이륙하여 이륙 직후 제어를 상실하고 유도로에 착륙하는 과정에서 지형에 충돌하여 양쪽 날개와 동체에 상당한 손상을 입었으며, 인명피해 없음."
72,2023-08-17,Jetvalet Sdn Bhd,Raytheon 390 Premier I,APR,8,10,Jetvalet Sdn Bhd 소속 Raytheon 390 Premier I 항공기가 말레이시아 Sultan Abdul Aziz Shah 공항에 접근 중 제어를 상실하고 인근 고속도로에 충돌하여 탑승자 전원 및 지상의 자동차와 오토바이 운전자 2명이 사망함. 
73,2023-08-18,Emirates Airlines,Airbus A380-861,APR,,,"Emirates Airlines 소속 Airbus A380-861 항공기가 프랑스 Nice-Cote d'Azur 공항에 접근 중 소음과 진동을 느꼈으나 접근을 지속해 정상적으로 착륙, 점검 결과 우측 날개의 슬랫 상부가 파손된 것으로 밝혀짐."
74,2023-08-20,Alaska Airlines,Boeing 737-890 (WL),LDG,112,,"Alaska Airlines 소속 Boeing 737-890 (WL) 항공기가 미국 Santa Ana-John Wayne 공항에 착륙 중 좌측 메인 랜딩기어가 붕괴되었으나, 인명피해 없음."
75,2023-08-21,Northern Illinois Flight Center,IAI 1125 Astra SP,LDG,2,,"Northern Illinois Flight Center 소속 IAI 1125 Astra SP 항공기가 미국 Chicago-Executive 공항에 착륙 후 브레이크 제동이 되지 않아 비상 브레이크를 사용해 감속 후 유도로 진입을 시도했으나, 풀밭으로 미끄러져 우측 메인 랜딩기어가 붕괴되었고 인명피해 없음. "
76,2023-08-22,"UAS Transervices Inc, opb. Wiggins Airways",Beechcraft C99 Commuter,ENG,2,2,Wiggins Airways 소속 Beechcraft C99 Commuter 항공기가 미국 Litchfield 인근에서 비행훈련 중 추락하여 탑승자 전원 사망함. 
77,2023-08-23,"MNT-Aero, opf Wagner Group",Embraer EMB-135BJ Legacy 600,ENR,10,10,"MNT-Aero, opf Wagner Group 소속 Embraer EMB-135BJ Legacy 600 항공기가 러시아 Kuzhenkino 인근 들판에 추락하여 탑승자 전원 사망함."
78,2023-08-24,Air Antilles,Viking Air DHC-6 Twin Otter 400,LDG,6,,"Air Antilles 소속 Viking Air DHC-6 Twin Otter 400 항공기가 생바르텔레미의 Saint-Barth Remy de Haenen 공항에 착륙 중 활주로를 이탈하면서 주기된 에어버스 헬리콥터에 충돌하였으나, 인명피해 없음."
79,2023-08-24,Flamingo Air,Beechcraft B99 Airliner,LDG,11,,"Flamingo Air 소속 Beechcraft B99 Airliner 항공기가 바하마 Black Point 비행장에 랜딩기어를 내리지 않은 채 착륙하였으나, 인명피해 없음."
80,2023-08-30,Air France,Boeing 777-328ER ,TXI,,,"Air France 소속 Boeing 777-328ER 항공기가 프랑스 Paris-Charles de Gaulle 공항에서 지상이동 중 선회구역 경로 앞 쪽에서 홀딩 중이던 Delta Air Lines 소속 Airbus A330-941 항공기의 윙렛과 Air France 소속 항공기의 꼬리날개가 충돌하였으나, 인명피해 없음. "
81,2023-09-01,Tropicair,Beechcraft B200C Super King Air,LDG,7,,"Tropicair 소속 Beechcraft B200C Super King Air 항공기가 파푸아뉴기니 Port Moresby-Jacksons 공항에 착륙 중 노즈 랜딩기어가 붕괴되었으나, 인명피해 없음."
82,2023-09-07,Perimeter Aviation,Fairchild SA227-DC Metro 23,LDG,10,,"Perimeter Aviation 소속 Fairchild SA227-DC Metro 23 항공기가 캐나다 Detour Lake 공항에 착륙 중 복행, 두 번째 착륙 시도에서 우측 날개와 노즈가 활주로에 닿아 항공기가 파손되면서 활주로를 이탈하였으나, 인명피해 없음. "
